ranking,player_name,jorsey_name,country,tournaments,points
288,Kien Hwa King,KING,Malaysia,8,4850
289,Kanishq M,M,India,5,4840
290,Yan Kit Wong,WONG,Canada,14,4820
291,Muhammad Sultan Nurhabibullah Mayang,MAYANG,Indonesia,3,4820
292,Bobby Setiabudi,SETIABUDI,Indonesia,7,4800
293,Sok Rikreay,RIKREAY,Cambodia,1,4800
294,Finn Achthoven,ACHTHOVEN,Netherlands,20,4790
295,Filip Spoljarec,SPOLJAREC,Croatia,10,4690
296,Nicolas Oliva,OLIVA,Argentina,5,4613
297,Charles Fouyn,FOUYN,Belgium,14,4580
298,Bodhi Ratana Teja Gotama,GOTAMA,Indonesia,10,4580
299,Dicky Dwi Pangestu,PANGESTU,Azerbaijan,8,4540
300,Kalombo Mulenga,MULENGA,Zambia,6,4532
301,Kuswanto Kuswanto,KUSWANTO,United Arab Emirates,5,4490
302,Zheng Xing Wang,WANG,China,4,4484
303,Juin An Yap,YAP,Malaysia,11,4480
304,Pranay Katta,KATTA,India,7,4480
305,David Kim,KIM,Denmark,13,4450
306,Shih-Chieh Chang,CHANG,Chinese Taipei,8,4440
307,Jackson Yang,YANG,Canada,5,4420
308,Bradley Evans,EVANS,Jamaica,2,4420
309,Soren Opti,OPTI,Suriname,6,4400
310,Garret Tan,TAN,USA,9,4390
311,Alonso Medel,MEDEL,Chile,5,4340
312,Frank Barrios,BARRIOS,Venezuela,3,4330
313,Bharat Raghav,RAGHAV,India,5,4320
314,Aryamann Tandon,TANDON,India,4,4320
315,Xuan Chen Zhu,ZHU,China,2,4310
316,Aaron Sonnenschein,SONNENSCHEIN,Germany,12,4160
317,Aram Mahmoud,MAHMOUD,Netherlands,5,4153
318,Kevin Barkman,BARKMAN,Canada,15,4150
319,Adam Dolman,DOLMAN,Australia,3,4110
320,Ming Hong Lim,LIM,Malaysia,9,4100
321,Mohamed  Abderrahime Belarbi,BELARBI,Algeria,8,4027
322,Roberto Carlos Herrera Vazquez,VAZQUEZ,Cuba,3,4010
323,Wei Chi Liu,LIU,Chinese Taipei,6,3990
324,Jie Ying Chan,CHAN,Australia,3,3990
325,Maksymilian Danielak,DANIELAK,Poland,9,3970
326,Thabani Mathe,MATHE,Zimbabwe,6,3926
327,Daniel Nikolov,NIKOLOV,Bulgaria,3,3863
328,Kennie King,KING,Barbados,6,3860
329,Zheng Tseng Tan,TAN,Malaysia,6,3840
330,Andraz Krapez,KRAPEZ,Slovenia,9,3810
331,Ditlev Jaeger Holm,HOLM,Denmark,3,3810
332,Ahmed Nibal,NIBAL,Maldives,10,3740
333,Remi Rossi,ROSSI,French Polynesia (Tahiti),7,3738
334,Karl Kert,KERT,Estonia,12,3706
335,Ken Richardson,RICHARDSON,Australia,3,3670
336,Anderson Taveras,TAVERAS,Dominican Republic,2,3670
337,Manuel Mejia,MEJIA,El Salvador,6,3640
338,Filip Karlborg,KARLBORG,Sweden,12,3630
339,Mahd Shaikh,SHAIKH,Saudi Arabia,7,3620
340,Jakob Houe,HOUE,Denmark,4,3580
341,Panji Ahmad Maulana,MAULANA,Indonesia,4,3570
342,Mohamad Hafiz Mohamed Sikkander,SIKKANDER,Malaysia,11,3550
343,Riki Takei,TAKEI,Japan,3,3520
344,Siddharth Pratap Singh,SINGH,India,7,3500
345,Louis Ducrot,DUCROT,France,6,3500
346,Kah Kit Kan,KAN,Brunei Darussalem,8,3490
347,Ahmed Salah,SALAH,Egypt,3,3411
348,Hai Chao Liu,LIU,China,2,3390
349,Dennis Koppen,KOPPEN,Netherlands,7,3350
350,Tien Minh Nguyen,NGUYEN,Vietnam,5,3340
351,Lukasz Cimosz,CIMOSZ,Poland,13,3318
352,Deivid Silva,SILVA,Brazil,2,3300
353,Eogene Ewe,EWE,Malaysia,4,3270
354,Maxim Grinblat,GRINBLAT,Israel,11,3260
355,William Hu,HU,USA,4,3250
356,Thomas Fourcade,FOURCADE,France,9,3230
357,Zi Lok Sie,SIE,Malaysia,8,3220
358,Saket Thavanani,THAVANANI,Canada,9,3200
359,Hein Htut,HTUT,Myanmar,5,3200
360,Saneeth Dayanand Shimoga,SHIMOGA,India,9,3190
361,Joonas Korhonen,KORHONEN,Finland,10,3170
362,Tino Daoudal,DAOUDAL,France,10,3160
363,Rio Agustino,AGUSTINO,Australia,4,3160
364,Aaron Bai,BAI,USA,18,3140
365,Paul Tournefier,TOURNEFIER,France,12,3110
366,Sai Charan Koya,KOYA,India,5,3110
367,Miguel Quirama,QUIRAMA,Colombia,2,3110
368,Ivan Rusev,RUSEV,Bulgaria,13,3055
369,Henrikho Kho Wibowo,WIBOWO,Indonesia,8,3050
370,Faiz Rozain,ROZAIN,Malaysia,3,3049
371,Tarun Reddy Katam,KATAM,India,9,3040
372,Chi Chon Pui,PUI,Macau China,5,3040
373,Wei Yi Zhang,ZHANG,China,2,3040
374,Avinash Shastri,SHASTRI,New Zealand,4,3030
375,Zheng Ze Gao,GAO,China,1,3030
376,Bharath Latheesh,LATHEESH,United Arab Emirates,2,3000
377,Li-Chun Kuo,KUO,Chinese Taipei,5,2990
378,Buwaneka Goonethilleka,GOONETHILLEKA,Sri Lanka,4,2990
379,Gianpiero Cavallotti,CAVALLOTTI,Costa Rica,4,2980
380,Yu Igarashi,IGARASHI,Japan,3,2980
381,Sam Yuan,YUAN,Canada,7,2960
382,Abhyansh Singh,SINGH,India,9,2940
383,Noah Haase,HAASE,Netherlands,9,2890
384,Angel Argenis Marinez Ulloa,ULLOA,Dominican Republic,3,2880
385,Jerome Pauquet,PAUQUET,Luxembourg,9,2878
386,Dhruv Kumar,KUMAR,India,12,2810
387,Manav Choudhary,CHOUDHARY,India,6,2800
388,Chi Wing Lim,LIM,Malaysia,1,2800
389,Adrian King-Sun Mar,MAR,USA,3,2795
390,Ryan Ma,MA,USA,3,2790
391,Kavin Thangam Kavin,KAVIN,India,10,2770
392,In Qin Ng,NG,Malaysia,5,2770
393,Yu-Han Hsu,HSU,Chinese Taipei,6,2750
394,Tien Ann Par,PAR,Malaysia,6,2740
395,Emre Lale,LALE,Turkiye,3,2720
396,Siddhant Salar,SALAR,India,7,2710
397,Kai An Wu,WU,China,2,2710
398,Ernesto Baschwitz,BASCHWITZ,Spain,8,2690
399,Donghun Kim,KIM,Korea,3,2690
400,Juan Carlos Bencomo Otaño,OTAÑO,Cuba,3,2680
401,Adisak Prasertphetmanee,PRASERTPHETMANEE,Thailand,5,2650
402,Arthur Wakhevitsch,WAKHEVITSCH,France,9,2620
403,Jean Bernard Bongout,BONGOUT,Mauritius,5,2620
404,Reece Marcano,MARCANO,Trinidad and Tobago,2,2590
405,Rajesh Srikar,SRIKAR,India,5,2580
406,Mathias Solgaard,SOLGAARD,Denmark,11,2560
407,Ephraim Stephen Sam,SAM,Australia,2,2550
408,Pranav Rao Gandham,GANDHAM,India,5,2540
409,Miha Ivanič,IVANIČ,Slovenia,4,2480
410,Fernando Sanhueza,SANHUEZA,Chile,3,2480
411,Arya Bhivpathaki,BHIVPATHAKI,India,4,2473
412,Aaron Assing,ASSING,Réunion,2,2460
413,Leo Van Gysel,GYSEL,France,6,2450
414,Abhishek Saini,SAINI,India,3,2450
415,Firman Abdul Kholik,KHOLIK,Indonesia,3,2440
416,Godwin Olofua,OLOFUA,Nigeria,2,2440
417,Larry Pong,PONG,England,10,2430
418,Muhammad Naim Ahmad Fairuzly,FAIRUZLY,Malaysia,5,2430
419,Obiegue Solomon,SOLOMON,Equatorial Guinea,4,2430
419,Jan Jireh Lee,LEE,Malaysia,4,2430
421,Mohamed Abdelaziz Ouchefoun,OUCHEFOUN,Algeria,4,2400
422,Mwanza Edward,EDWARD,Zambia,4,2395
423,Amos Muyanja,MUYANJA,Uganda,5,2385
424,Magnus Klinggaard,KLINGGAARD,Denmark,9,2350
425,Jun Hui Marcus Lau,LAU,Singapore,4,2350
426,John Li,LI,Canada,6,2340
427,Neil Bhabuta,BHABUTA,England,11,2320
428,Dominik Kopřiva,KOPŘIVA,Czech Republic,10,2310
429,Josh Nguyen,NGUYEN,Canada,4,2300
430,Sifeddine Larbaoui,LARBAOUI,Algeria,4,2290
431,Shao-Hsuan Chen,CHEN,Chinese Taipei,6,2280
432,Jose Guevara,GUEVARA,Peru,4,2280
433,Shun Saito,SAITO,Japan,4,2260
434,Chu Chen Lin,LIN,Chinese Taipei,4,2250
435,Alfito Pringgo Yudanto,YUDANTO,Indonesia,3,2240
435,Chung-Hsiang Yih,YIH,Chinese Taipei,3,2240
437,Marcus Viscovich,VISCOVICH,Denmark,8,2210
438,Eu Cong Low,LOW,Malaysia,3,2200
438,Ansal Yadav,YADAV,India,3,2200
440,Niccolo Tagle,TAGLE,New Zealand,1,2200
440,Oscar Guo,GUO,New Zealand,1,2200
442,Patrick Zbinden,ZBINDEN,Switzerland,15,2199
443,Ratchaphol Srithong,SRITHONG,Thailand,11,2190
444,Augustus Owinyi,OWINYI,Uganda,3,2190
444,Timothy Kafunda,KAFUNDA,Zambia,3,2190
446,Phuc Thinh Phan,PHAN,Vietnam,4,2150
447,Samuel Cassar,CASSAR,Malta,7,2130
448,Karono Karono,KARONO,Australia,1,2130
449,Yaro Van Delsen,DELSEN,Belgium,9,2120
450,Sebastian Vasquez,VASQUEZ,Chile,3,2120
451,Salar Bayat,BAYAT,Iran,2,2120
452,Hooman Bagheri,BAGHERI,Canada,6,2110
453,Ze Qing Liu,LIU,China,1,2110
453,Ping-Hsien Huang,HUANG,Chinese Taipei,1,2110
455,Ci Fu Lei,LEI,Chinese Taipei,5,2100
456,Sharum Durand Cardenas,CARDENAS,Peru,4,2100
457,Min Seon Jeong,JEONG,Korea,3,2087
458,Kai Feng Tang,TANG,China,7,2070
459,Praful Maharjan,MAHARJAN,Nepal,2,2070
459,Niluka Karunaratne,KARUNARATNE,Sri Lanka,2,2070
461,Enrico Baroni,BARONI,Italy,8,2050
462,Michael Daniel Royce Karamoy,KARAMOY,Indonesia,5,2050
463,Oleksandar Shmundyak,SHMUNDYAK,Ukraine,4,2050
464,Nachakorn Pusri,PUSRI,Thailand,3,2050
465,Brian Rodrigo Roque Caycho,CAYCHO,Peru,4,2040
466,Jin Hong Teh,TEH,Malaysia,7,2030
467,Shubh Krishan,KRISHAN,Canada,6,2030
468,Imka Putrama Arlin,ARLIN,Indonesia,3,2020
469,Orijit Chaliha,CHALIHA,India,6,2010
470,Bhargav Somasundara,SOMASUNDARA,India,3,2010
471,Chen Xun Zhao,ZHAO,Chinese Taipei,4,2000
472,Anson Cheong,CHEONG,Malaysia,6,1972
473,Ethan Rose,ROSE,England,6,1970
474,Aaron Kai Bin Kok,KOK,Malaysia,8,1950
475,Puritat Arree,ARREE,Thailand,4,1950
475,Saahas Kumar P.,P.,India,4,1950
477,Abed Bukenya,BUKENYA,Uganda,4,1940
478,Mohamad Haris Sufian Rushdan,RUSHDAN,Malaysia,3,1940
479,Abdul Swaburuh Ssempiri,SSEMPIRI,Uganda,5,1920
480,Carlos Piris,PIRIS,Spain,2,1920
481,Nicholas Bonkowsky,BONKOWSKY,Trinidad and Tobago,6,1900
482,Alexander Pedersen,PEDERSEN,Denmark,9,1880
483,Jacob Hjorth,HJORTH,Denmark,8,1860
484,Micaiah Jien Zheng Chai,CHAI,Malaysia,6,1860
484,Kai Qing Choo,CHOO,Malaysia,6,1860
486,Mahmoud Montaser,MONTASER,Egypt,4,1860
487,Zong Han Lee,LEE,Singapore,4,1850
